1004348	1004348
1004426	1004426
1004458	1004458
1004525	1004525
1004602	1004602
1004616	1004616
1004695	1004695
1004706	1004706
1004733	1004733
1004759	1004759
1004765	1004765
1004788	1004788
1004808	1004808
1004843	1004843
1004866	1004866
1004894	1004894
1004913	1004913
1004928	1004928
1004934	1004934
1004952	1004952
1004967	1004967
1004976	1004976
1004980	1004980
1004999	1004999
1005020	1005020
1005047	1005047
1005071	1005071
1005103	1005103
1005136	1005136
1005155	1005155
1005172	1005172
1005205	1005205
1005241	1005241
1005253	1005253
1005264	1005264
1005286	1005286
1005298	1005298
1005311	1005311
1005445	1005445
1005467	1005467
1005499	1005499
1005589	1005589
1005631	1005631
1005640	1005640
1005657	1005657
1005662	1005662
1005721	1005721
1005739	1005739
1005777	1005777
1005794	1005794
1005827	1005827
1005849	1005849
1005868	1005868
1005907	1005907
1005935	1005935
1005946	1005946
1005981	1005981
1006008	1006008
1006015	1006015
1006039	1006039
1006043	1006043
1006050	1006050
1006066	1006066
1006077	1006077
1006111	1006111
1006125	1006125
1006138	1006138
1006142	1006142
1006156	1006156
1006174	1006174
1006220	1006220
1006292	1006292
1006375	1006375
1006389	1006389
1006419	1006419
1006478	1006478
1006513	1006513
1006528	1006528
1006580	1006580
1006599	1006599
1006629	1006629
1006641	1006641
1006727	1006727
1006730	1006730
1006751	1006751
1006768	1006768
1006773	1006773
1006784	1006784
1006804	1006804
1006818	1006818
1006831	1006831
1006857	1006857
1006862	1006862
1006885	1006885
1006936	1006936
1006948	1006948
1006987	1006987
1007000	1007000
1007017	1007017
1007026	1007026
1007089	1007089
1007102	1007102
1007116	1007116
1007184	1007184
1007195	1007195
1007213	1007213
1007234	1007234
1007276	1007276
1007299	1007299
1007321	1007321
1007441	1007441
1007470	1007470
1007559	1007559
1007619	1007619
1007663	1007663
1007681	1007681
1007690	1007690
1007711	1007711
1007725	1007725
1007738	1007738
1007760	1007760
1007774	1007774
1007783	1007783
1007803	1007803
1007810	1007810
1007848	1007848
1007855	1007855
1007872	1007872
1007923	1007923
1007940	1007940
1007957	1007957
1007962	1007962
1008030	1008030
1008049	1008049
1008073	1008073
1008095	1008095
1008100	1008100
1008126	1008126
1008144	1008144
1008158	1008158
1008189	1008189
1008193	1008193
1008208	1008208
1008215	1008215
1008282	1008282
1008294	1008294
1008313	1008313
1008334	1008334
1008376	1008376
1008399	1008399
1008519	1008519
1008554	1008554
1008581	1008581
1008647	1008647
1008671	1008671
1008692	1008692
1008704	1008704
1008731	1008731
1008757	1008757
1008779	1008779
1008785	1008785
1008796	1008796
1008805	1008805
1008870	1008870
1008898	1008898
1008909	1008909
1008938	1008938
1008942	1008942
1008974	1008974
1008983	1008983
1009003	1009003
1009024	1009024
1009036	1009036
1009072	1009072
1009087	1009087
1009106	1009106
1009114	1009114
1009133	1009133
1009188	1009188
1009211	1009211
1009256	1009256
1009274	1009274
1009283	1009283
1009312	1009312
1009329	1009329
1009370	1009370
1009386	1009386
1009398	1009398
1009427	1009427
1009468	1009468
1009473	1009473
1009504	1009504
1009585	1009585
1009617	1009617
1009626	1009626
1009632	1009632
1009675	1009675
1009722	1009722
1009746	1009746
1009754	1009754
1009790	1009790
1009813	1009813
1009834	1009834
1009867	1009867
1009876	1009876
1009977	1009977
1010000	1010000
1010044	1010044
1010058	1010058
1010075	1010075
1010093	1010093
1010102	1010102
1010116	1010116
1010130	1010130
1010151	1010151
1010168	1010168
1010184	1010184
1010234	1010234
1010245	1010245
1010267	1010267
1010308	1010308
1010315	1010315
1010350	1010350
1010377	1010377
1010412	1010412
1010429	1010429
1010437	1010437
1010441	1010441
1010470	1010470
1010486	1010486
1010514	1010514
1010520	1010520
1010533	1010533
1010547	1010547
1010559	1010559
1010571	1010571
1010619	1010619
1010646	1010646
